lemma_id,gloss_type_Bamberg,gloss_type_Lat7499,gloss_form_Bamberg,gloss_form_Lat7499,lemma_Bamberg,gloss_Bamberg,lemma_Lat7499,gloss_Lat7499
p447_l05_o02,S22,S22,F2,F2,SEMPER ,ꝓ sepe,SEMPER ,ꝓ sepe
p447_l05_o04,S22,S22,F2,F2,QVĘSTIONES ,ꝓ positiones,QVESTIONES ,÷ ꝓpositiones
p447_l05_o06,S22,S22,F2,F2,AVDITORVM ,discipulorũ,AVDITORṼ ,discipuloꝵ
p447_l05_o07,S22,S22,F3,F3,ACVTIora ,peritiora astutiora /subtiliora VALᵈ ͤ <...?>/excellentiora,acutiora ,"efficatiora ÷ ualde acuta, peritiora acutiora / excellentiora :"
p447_l07_o01,S22,S22,F2,F2,desider& ,c̃cupiscat,desideret ,.s. audire
p447_l07_o03,S22,S22,F2,F2,recens ,nouum,recens ,Nouũ
p447_l08_o03,S22,S22,F2,F2,uidetur ,existimat᷑,uidetur ,existimat᷑
p447_l08_o07,S22,S22,F2,F2,p&itionibus ,postulationib,petitonib; ,postulationib;
p447_l11_o06,S22,S22,F2,F2,romana ,latina,romana ,÷ latina
p447_l12_o09,S3232,S3232,F2,F2,quorũ ,sb̶ librorũ,Quorum ,.s. librorũ
p447_l13_o02,S22,S22,F2,F2,obseruationib; ,regulis,obseruationib; ,regulis
p447_l13_o03,S22,S22,F3,F3,instruit᷑ ,disponit᷑ ORDIN ͣ ͭ ͧ ͬ,instruit᷑ ,ordinat᷑ et disponit᷑
p447_l13_o04,S22,S22,F2,F2,generalibus ,cõmunib,generalib ,cõmunib
p447_l14_o01,S22,S22,F3,F3,speciales ,singulares PROP ͬ ͥ ͧ ͫ,spetiales ,singulares & ꝓpͥas
p447_l17_o02,S35,S35,F3,F3,quidem ,causa ł c̃iunctio,QUIDEM ,causa ł c̃iunctio
p447_l17_o08,S53,S53,F4,F4,Vna ,PRO pͥma PON ͥ ͭ ͧ ͬ,VNA ,ꝓ pͥma ponit᷑
p448_l02_o06,S3232,S3232,F2,F2,eos ,sb̶ gręcos,eos ,÷ grecos
p448_l02_o08,S211,S211,F4,F4,ꝑispomene ,peri DIC ͥ ͭ ͧ ͬ circũ UNDE perispomene IDEST CIRCUM FLEXIBILIS,ΠΕΡΙCΠΩΜΕΝΗ ,cirũflexibils; ΠΕΡΙCΠΩ ÷ circũfleto/ΠΕΡΙ dr̃ circũ unde perispomę / ne circũflexis accentꝰ
p448_l04_o10,S53,S53,F4,F4,t̃minatione ,instu?cia que nobis uult,desinentẽ ,finientem; ista t̃tia speties uocat᷑ .ω. desinens
p448_l07_o01,S22,S22,F2,F2,indicia ,signa,inditia ,signa
p448_l07_o03,S53,S53,F2,F2,iterũ ,SUBAUD ͥ ͭ ͧ ͬ VID ͤ ᷠ ͭ ͧ ͬ,iterum ,.s. uident᷑
p448_l08_o05,S22,S22,F2,F2,t̃minalẽ ,finalẽ,terminalem ,finalem
p448_l10_o04,S22,S22,F2,F2,tenore ,accentu,tenore ,accentu
p448_l13_o01,S22,S22,F2,F2,t̃minalis ,FIN ͣ ᷝ ͥ ᷤ,terminalis ,finalis
p448_l14_o01,S22,S22,F2,F2,romanos ,latinos,romanos ,latinos
p448_l14_o02,S22,S22,F2,F2,penitꝰ ,radicitꝰ,penitꝰ ,Radicitꝰ
p448_l14_o04,S22,S22,F2,F2,incerta ,dubia,incerta ,dubia
p448_l15_o06,S53,S53,F2,F2,primę ,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,primę ,.s.c̃iugat̃
p448_l16_o09,S333,S333,F3,F3,possĩ ,CONIUNCTI ͧ ͧ ᷤ MODUS,possim ,c̃iunctuius modus
